"","name","adh","nb_ceps_compte","nb_grappes_total","nb_grappes_m2","poids_grappe_moyen_1","taux_sucre_moyen_1","poids_grappe_moyen_2","taux_sucre_moyen_2","annee"
"277","LE HAUT BELAI                      ","ADH4",30,NA,"9.1",135,NA,135,NA,2017
"278","LES CARRIERES                      ","ADH4",30,NA,"8.4",135,NA,135,NA,2017
"279","LES BEAUNES                        ","ADH4",30,NA,"7.3",135,NA,135,NA,2017
"280","LES COUTURES D'EN BAS              ","ADH4",30,NA,"16.7",135,NA,135,NA,2017
"281","LES VOIES DE CHIGNY                ","ADH4",30,NA,"11.25",135,NA,135,NA,2017
"282","LES NOUES                          ","ADH4",30,NA,"8.1",135,NA,135,NA,2017
"283","LES BEAUNES                        ","ADH4",30,NA,"7.8",135,NA,135,NA,2017
"284","LES PETITES CRIERES                ","ADH4",30,NA,"7.4",135,NA,135,NA,2017
"285","LES BEAUNES                        ","ADH4",30,NA,"6.5",135,NA,135,NA,2017
"286","BROUILLET Meuniuer","ADH4",30,NA,"7.7",135,NA,135,NA,2017
"287","BROUILLET Pinot","ADH5",30,NA,"11.4",135,NA,135,NA,2017
"288","GD MÈRE","ADH5",30,NA,"5.9",135,NA,135,NA,2017
"289","GD MÈRE MARCEL","ADH5",30,NA,"5.5",135,NA,135,NA,2017
"290","WALIN PLT1","ADH5",30,NA,"6.5",135,NA,135,NA,2017
"291","WALIN PINOT","ADH5",30,NA,"8.7",135,NA,135,NA,2017
"292","WALIN ht vielle","ADH5",30,NA,"5.3",135,NA,135,NA,2017
"293","WALIN GD","ADH5",30,NA,"5.8",135,NA,135,NA,2017
"294","QUAI PLANTES","ADH5",30,NA,"8.1",135,NA,135,NA,2017
"295","BAS RUISSEAU2009","ADH5",30,NA,"5.3",135,NA,135,NA,2017
"296","RUISSEAU MEUNIER2007","ADH5",30,NA,"5.2",135,NA,135,NA,2017
"297","RUISSEAU  MEUNIER2002","ADH5",30,NA,"4.3",135,NA,135,NA,2017
"298","RUISSEAU  PINOT","ADH5",30,NA,"3.5",135,NA,135,NA,2017
"299","RUISSEAU CHARD","ADH5",30,NA,"3.5",135,NA,135,NA,2017
"300","RUISSEAU FOND","ADH5",30,NA,"5.7",135,NA,135,NA,2017
"301","COUTURES 1985","ADH6",30,NA,"5.7",135,NA,135,NA,2017
"302","COUTURES PETITES 1987","ADH6",30,NA,"5.6",135,NA,135,NA,2017
"303","DESSOUS LE MONT 1968","ADH6",30,NA,"7.5",135,NA,135,NA,2017
"304","MOULINS plt 1993","ADH6",30,NA,"6.1",135,NA,135,NA,2017
"305","MOULINS vx 1967","ADH6",30,NA,"5.9",135,NA,135,NA,2017
"306","NOUES GD 1972","ADH6",30,NA,"4.6",135,NA,135,NA,2017
"307","BASSEIGNANTS 2013","ADH6",30,NA,"4.2",135,NA,135,NA,2017
"308","BEAUX REGARDS B 1992","ADH6",30,NA,"4.5",135,NA,135,NA,2017
"309","GROSSES PIERRES 2008","ADH6",30,NA,"5.7",135,NA,135,NA,2017
"310","HOCATS 2009","ADH6",30,NA,"8.1",135,NA,135,NA,2017
"311","RUELLES 1997","ADH6",30,NA,"5.3",135,NA,135,NA,2017
"312","TONNELLES Blancs 2011","ADH6",30,NA,"2.4",135,NA,135,NA,2017
"313","TONNELLES Blancs 2015","ADH6",30,NA,"0.5",135,NA,135,NA,2017
"314","BEAUNES GD 1980","ADH6",30,NA,"8.4",135,NA,135,NA,2017
"315","BEAUNES PT 1980","ADH6",30,NA,"7.5",135,NA,135,NA,2017
"316","BEAUX REGARD N 1992","ADH6",30,NA,"5.7",135,NA,135,NA,2017
"317","HAUSSE CUISSE GD 1989","ADH7",30,NA,"10",135,NA,135,NA,2017
"318","HAUSSE CUISSE PT 1974","ADH7",30,NA,"9.2",135,NA,135,NA,2017
"319","HOUSSETS 1980","ADH7",30,NA,"6.8",135,NA,135,NA,2017
"320","NOUES pt 1990","ADH7",30,NA,"9.7",135,NA,135,NA,2017
"321","THERMES 1975","ADH7",30,NA,"8.5",135,NA,135,NA,2017
"322","sentiers","ADH7",30,NA,"8",135,NA,135,NA,2017
"323","sentiers","ADH7",30,NA,"6.9",135,NA,135,NA,2017
"324","Verbonettes","ADH7",30,NA,"4.25",135,NA,135,NA,2017
"325","Voies de chigny","ADH8",30,NA,"4.5",135,NA,135,NA,2017
"326","Monthouzons adulte","ADH8",30,NA,"5.33",135,NA,135,NA,2017
"327","Monthouzons jeune","ADH8",30,NA,"12",135,NA,135,NA,2017
"328","JEUNES BEAUNES","ADH8",30,NA,"9.71",135,NA,135,NA,2017
"329","CORIGNIERS","ADH8",30,NA,"9.31",135,NA,135,NA,2017
"330","CLOS SAINT PAUL","ADH8",30,NA,"7.94",135,NA,135,NA,2017
"331","GRANDS CARIZETS","ADH8",30,NA,"7.22",135,NA,135,NA,2017
"332","BLANCHES VOYES","ADH8",30,NA,"7.17",135,NA,135,NA,2017
"333","VAUREAGES","ADH8",30,NA,"6.93",135,NA,135,NA,2017
"334","DERRIERE LES MAISONS","ADH8",30,NA,"6.51",135,NA,135,NA,2017
"335","BAS CLOS","ADH8",30,NA,"5.79",135,NA,135,NA,2017
"336","PETITS CARIZETS","ADH8",30,NA,"5.08",135,NA,135,NA,2017
"337","DRILL FOUR","ADH8",30,NA,"4.92",135,NA,135,NA,2017
"338","VIEUX BEAUNES","ADH8",30,NA,"4.63",135,NA,135,NA,2017
"339","CRIERES","ADH8",30,NA,"4.47",135,NA,135,NA,2017
"340","GRANDES PRUCHES","ADH8",30,NA,"11.53",135,NA,135,NA,2017
"341","SOBINETTES","ADH9",30,NA,"11.53",135,NA,135,NA,2017
"342","PETITES PRUCHES","ADH9",30,NA,"9.31",135,NA,135,NA,2017
"343","BAS MOUTIONS","ADH9",30,NA,"6.92",135,NA,135,NA,2017
"344","CLOS DERARD","ADH9",30,NA,"5.26",135,NA,135,NA,2017
"345","RUELLES","ADH9",30,NA,"5.13",135,NA,135,NA,2017
"346","VOIES DE CHIGNY","ADH9",30,NA,"9.79",135,NA,135,NA,2017
"347","CHAMPS LUDEES","ADH9",30,NA,"8.94",135,NA,135,NA,2017
"348","CROTELETS","ADH9",30,NA,"6.35",135,NA,135,NA,2017
"349","COUTURES","ADH9",30,NA,"5.13",135,NA,135,NA,2017
"350","LES TERMES","ADH9",30,NA,"8.07",135,NA,135,NA,2017
"351","LES VARENNES","ADH9",30,NA,"5",135,NA,135,NA,2017
"352","LES BLANCHES VOIES","ADH9",30,NA,"9.42",135,NA,135,NA,2017
"353","LES TERMES","ADH10",30,NA,"8.66",135,NA,135,NA,2017
"354","LES VAURAIAGES","ADH10",30,NA,"5.42",135,NA,135,NA,2017
"355","BEAUNES","ADH10",30,NA,"11.7",135,NA,135,NA,2017
"356","NOYER L'HERBIER","ADH10",30,NA,"11.33",135,NA,135,NA,2017
"357","CARIZETS D'EN BAS","ADH10",30,NA,"9.43",135,NA,135,NA,2017
"358","VAURIAGES","ADH10",30,NA,"7.53",135,NA,135,NA,2017
"359","CORNE CERFS","ADH10",30,NA,"6.19",135,NA,135,NA,2017
"360","CHEMIN D'AMIS BAS","ADH10",30,NA,"5.93",135,NA,135,NA,2017
"361","LES GRANDES CRIERES","ADH10",30,NA,"5.22",135,NA,135,NA,2017
"362","BEAUNES","ADH10",30,NA,"4.92",135,NA,135,NA,2017
"363","CHEMIN D'AMIS HAUT","ADH10",30,NA,"4.66",135,NA,135,NA,2017
"364","TROIS PUITS","ADH10",30,NA,"8",135,NA,135,NA,2017
"365","PRUCHES D'EN HAUT","ADH10",30,NA,"7.94",135,NA,135,NA,2017
"366","BEAUX REGARDS","ADH10",30,NA,"7.33",135,NA,135,NA,2017
"367","HOCATS","ADH10",30,NA,"6.98",135,NA,135,NA,2017
"368","PECHERINES","ADH10",30,NA,"6.75",135,NA,135,NA,2017
"369","CROIX LE PRETRE","ADH11",30,NA,"6.23",135,NA,135,NA,2017
"370","BASSIGNONS","ADH11",30,NA,"4.61",135,NA,135,NA,2017
"371","AMIS LES CHAMPS","ADH11",30,NA,"3.2",135,NA,135,NA,2017
"372","TROIS PUITS","ADH11",30,NA,"8.78",135,NA,135,NA,2017
"373","CORRIGNIERS  AK  0036","ADH11",30,NA,"7.55",135,NA,135,NA,2017
"374","MOUTHIONS","ADH11",30,NA,"6.23",135,NA,135,NA,2017
"375","CHEMIN D'AMIS","ADH11",30,NA,"5.36",135,NA,135,NA,2017
"376","NOUES 386","ADH11",30,NA,"4.63",135,NA,135,NA,2017
"377","NOUES","ADH11",30,NA,"3.83",135,NA,135,NA,2017
"378","NOUES","ADH11",30,NA,"3.04",135,NA,135,NA,2017
"379","Verbonnette jeune","ADH11",30,NA,"5.49",135,NA,135,NA,2017
"380","Verbonnette vieille","ADH11",30,NA,"7.85",135,NA,135,NA,2017
"381","Grands Corigniers","ADH12",30,NA,"6.59",135,NA,135,NA,2017
"382","Moyens Corigniers","ADH12",30,NA,"7.36",135,NA,135,NA,2017
"383","Petits Corigniers","ADH12",30,NA,"3.05",135,NA,135,NA,2017
"384","Bas Belais","ADH12",30,NA,"5.38",135,NA,135,NA,2017
"385","Coutures/Moulins","ADH12",30,NA,"3.17",135,NA,135,NA,2017
"386","Grands Moulins","ADH12",30,NA,"2.1",135,NA,135,NA,2017
"387","Trésorières  X  0175 (2014)","ADH12",30,NA,"6.2",135,NA,135,NA,2017
"388","Beaunes 50 ares  AH 0072","ADH12",30,NA,"5.2",135,NA,135,NA,2017
"389","Corrigniers  AK  0036","ADH12",30,NA,"7.8",135,NA,135,NA,2017
"390","Beaunes Carré AH 0122 + 0123","ADH12",30,NA,"6.4",135,NA,135,NA,2017
"391","Beaunes du Bout 1999  AH  0085","ADH12",30,NA,"9.9",135,NA,135,NA,2017
"392","Coutures d'en Haut(vieille) A  1002","ADH12",30,NA,"6.5",135,NA,135,NA,2017
"393","Beaunes Plateau  AH  OO54","ADH13",30,NA,"5.8",135,NA,135,NA,2017
"394","Houssets  A  0500","ADH13",30,NA,"4.3",135,NA,135,NA,2017
"395","Coutures d'en Haut(pinots) A 0545 (02)","ADH13",30,NA,"3.3",135,NA,135,NA,2017
"396","Dessus la Ville  B  1367","ADH13",30,NA,"5.8",135,NA,135,NA,2017
"397","Coutures d'en Bas  A  0545","ADH13",30,NA,"6.9",135,NA,135,NA,2017
"398","Verbonnettes  AC  0324","ADH13",30,NA,"6.9",135,NA,135,NA,2017
"399","Beaunes du Bout 1993  AH  0086","ADH13",30,NA,"6.3",135,NA,135,NA,2017
"400","Coutures d'en Haut(jeune) A   1005","ADH13",30,NA,"5.4",135,NA,135,NA,2017
"401","Beaunes 15 routes  AH 0034","ADH13",30,NA,"5",135,NA,135,NA,2017
"402","Trésorières  X0176+0178+0179   (2011)","ADH14",30,NA,"8.7",135,NA,135,NA,2017
"403","Clos Yons   (pinots)  C  0798","ADH14",30,NA,"18",135,NA,135,NA,2017
"404","Pissottes  B  0646","ADH14",30,NA,"5.1",135,NA,135,NA,2017
"405","Driffours  B  0646","ADH14",30,NA,"8.1",135,NA,135,NA,2017
"406","Pruches d'en Bas (chard.) B  0857","ADH14",30,NA,"7.1",135,NA,135,NA,2017
"407","Trésorières  X0176+0178+0179   (2007)","ADH14",30,NA,"10.1",135,NA,135,NA,2017
"408","HAIE DU PRE","ADH1",30,NA,"9",135,NA,135,NA,2016
"409","HAIE DU PRE","ADH1",30,NA,"7.3",135,NA,135,NA,2016
"410","MALADRERIE (jeune vigne)","ADH1",30,NA,"8",135,NA,135,NA,2016
"411","NOUES","ADH1",30,NA,"9.8",135,NA,135,NA,2016
"412","CROTELETS","ADH1",30,NA,"12.4",135,NA,135,NA,2016
"413","COUTURES","ADH1",30,NA,"8",135,NA,135,NA,2016
"414","MALADRERIE (vieille vigne)","ADH1",30,NA,"7",135,NA,135,NA,2016
"415","NOUES","ADH1",30,NA,"5.6",135,NA,135,NA,2016
"416","BEAUNES","ADH1",30,NA,"5.5",135,NA,135,NA,2016
"417","BEAUNES","ADH1",30,NA,"6",135,NA,135,NA,2016
"418","CHAMP LUDET","ADH1",30,NA,"2.4",135,NA,135,NA,2016
"419","MOULINS","ADH1",30,NA,"5.3",135,NA,135,NA,2016
"420","PECHERINES (jeune partie)","ADH1",30,NA,"11.4",135,NA,135,NA,2016
"421","PECHERINES (vieille partie)","ADH1",30,NA,"9.4",135,NA,135,NA,2016
"422","HAIE DU PRE","ADH1",30,NA,"8.6",135,NA,135,NA,2016
"423","CARRIERES","ADH1",30,NA,"7.7",135,NA,135,NA,2016
"424","CARRIERES","ADH1",30,NA,"9.3",135,NA,135,NA,2016
"425","CROTELETS","ADH1",30,NA,"7",135,NA,135,NA,2016
"426","NOUES","ADH1",30,NA,"9.2",135,NA,135,NA,2016
"427","LES AMI LES CHAMPS","ADH2",30,NA,"6.5",135,NA,135,NA,2016
"428","LES PRUCHES","ADH2",30,NA,"5.7",135,NA,135,NA,2016
"429","LES AGNEAUX","ADH2",30,NA,"6.7",135,NA,135,NA,2016
"430","LES NOUES","ADH2",30,NA,"5.6",135,NA,135,NA,2016
"431","LES CARISETS","ADH2",30,NA,"6.7",135,NA,135,NA,2016
"432","DESSUS LA VILLE","ADH2",30,NA,"5.2",135,NA,135,NA,2016
"433","LES GRANDES CRIERES","ADH2",30,NA,"7.7",135,NA,135,NA,2016
"434","LE HAUT BELAI","ADH2",30,NA,"8.4",135,NA,135,NA,2016
"435","LES HAIES DU PRE","ADH2",30,NA,"14.9",135,NA,135,NA,2016
"436","LES RUELLES","ADH2",30,NA,"9.6",135,NA,135,NA,2016
"437","LE HAUT BELAI","ADH2",30,NA,"7.2",135,NA,135,NA,2016
"438","LES CHAMPS BAYARD","ADH2",30,NA,"6.1",135,NA,135,NA,2016
"439","LA MALADRERIE","ADH3",30,NA,"6.7",135,NA,135,NA,2016
"440","Les Amis les Champs","ADH3",30,NA,"5.5",135,NA,135,NA,2016
"441","La Maladrerie (Matu)","ADH3",30,NA,"10.2",135,NA,135,NA,2016
"442","Les Pruches d'en Haut","ADH3",30,NA,"8.6",135,NA,135,NA,2016
"443","Les Sabinettes","ADH3",30,NA,"8.1",135,NA,135,NA,2016
"444","La Grande Crière","ADH3",30,NA,"7.2",135,NA,135,NA,2016
"445","Les Noues","ADH3",30,NA,"7.1",135,NA,135,NA,2016
"446","La Maladrerie ","ADH3",30,NA,"4.5",135,NA,135,NA,2016
"447","Les Bassignons","ADH3",30,NA,"13.9",135,NA,135,NA,2016
"448","Les Sabinettes","ADH3",30,NA,"7.6",135,NA,135,NA,2016
"449","Les Beaunes  (Matu)","ADH3",30,NA,"8.6",135,NA,135,NA,2016
"450","Les Noues","ADH3",30,NA,"10.8",135,NA,135,NA,2016
"451","BROUILLET Meuniuer","ADH4",30,NA,"9.8",135,NA,135,NA,2016
"452","BROUILLET Pinot","ADH5",30,NA,"8",135,NA,135,NA,2016
"453","GD MÈRE","ADH5",30,NA,"6.8",135,NA,135,NA,2016
"454","GD MÈRE MARCEL","ADH5",30,NA,"8.5",135,NA,135,NA,2016
"455","WALIN PLT1","ADH5",30,NA,"5.5",135,NA,135,NA,2016
"456","WALIN PINOT","ADH5",30,NA,"6.2",135,NA,135,NA,2016
"457","WALIN ht vielle","ADH5",30,NA,"3.4",135,NA,135,NA,2016
"458","WALIN GD","ADH5",30,NA,"3.1",135,NA,135,NA,2016
"459","QUAI PLANTES","ADH5",30,NA,"6.1",135,NA,135,NA,2016
"460","BAS RUISSEAU2009","ADH5",30,NA,"7.8",135,NA,135,NA,2016
"461","RUISSEAU MEUNIER2007","ADH5",30,NA,"7",135,NA,135,NA,2016
"462","RUISSEAU  MEUNIER2002","ADH5",30,NA,"2.3",135,NA,135,NA,2016
"463","RUISSEAU  PINOT","ADH5",30,NA,"6.3",135,NA,135,NA,2016
"464","RUISSEAU CHARD","ADH5",30,NA,"4.9",135,NA,135,NA,2016
"465","RUISSEAU FOND","ADH5",30,NA,"7",135,NA,135,NA,2016
"466","COUTURES 1985","ADH6",30,NA,"6.5",135,NA,135,NA,2016
"467","COUTURES PETITES 1987","ADH6",30,NA,"3.5",135,NA,135,NA,2016
"468","DESSOUS LE MONT 1968","ADH6",30,NA,"5.3",135,NA,135,NA,2016
"469","MOULINS plt 1993","ADH6",30,NA,"5.4",135,NA,135,NA,2016
"470","MOULINS vx 1967","ADH6",30,NA,"3.7",135,NA,135,NA,2016
"471","NOUES GD 1972","ADH6",30,NA,"4.9",135,NA,135,NA,2016
"472","BASSEIGNANTS 2013","ADH6",30,NA,"4.9",135,NA,135,NA,2016
"473","BEAUX REGARDS B 1992","ADH6",30,NA,"4.5",135,NA,135,NA,2016
"474","GROSSES PIERRES 2008","ADH6",30,NA,"6.3",135,NA,135,NA,2016
"475","HOCATS 2009","ADH6",30,NA,"6.5",135,NA,135,NA,2016
"476","RUELLES 1997","ADH6",30,NA,"5.6",135,NA,135,NA,2016
"477","TONNELLES Blancs 2011","ADH6",30,NA,"4.5",135,NA,135,NA,2016
"478","BEAUNES GD 1980","ADH6",30,NA,"4.9",135,NA,135,NA,2016
"479","BEAUNES PT 1980","ADH6",30,NA,"5.3",135,NA,135,NA,2016
"480","BEAUX REGARD N 1992","ADH6",30,NA,"4.6",135,NA,135,NA,2016
"481","HAUSSE CUISSE GD 1989","ADH7",30,NA,"4.6",135,NA,135,NA,2016
"482","HAUSSE CUISSE PT 1974","ADH7",30,NA,"4.9",135,NA,135,NA,2016
"483","HOUSSETS 1980","ADH7",30,NA,"5.4",135,NA,135,NA,2016
"484","NOUES pt 1990","ADH7",30,NA,"6.9",135,NA,135,NA,2016
"485","THERMES 1975","ADH7",30,NA,"4",135,NA,135,NA,2016
"486","JEUNES BEAUNES","ADH8",30,NA,"10.19",135,NA,135,NA,2016
"487","CORIGNIERS","ADH8",30,NA,"7.75",135,NA,135,NA,2016
"488","CLOS SAINT PAUL","ADH8",30,NA,"3.49",135,NA,135,NA,2016
"489","GRANDS CARIZETS","ADH8",30,NA,"8.47",135,NA,135,NA,2016
"490","BLANCHES VOYES","ADH8",30,NA,"10.26",135,NA,135,NA,2016
"491","VAUREAGES","ADH8",30,NA,"3.65",135,NA,135,NA,2016
"492","DERRIERE LES MAISONS","ADH8",30,NA,"4.52",135,NA,135,NA,2016
"493","BAS CLOS","ADH8",30,NA,"6.14",135,NA,135,NA,2016
"494","PETITS CARIZETS","ADH8",30,NA,"4.76",135,NA,135,NA,2016
"495","DRILL FOUR","ADH8",30,NA,"5.5",135,NA,135,NA,2016
"496","VIEUX BEAUNES","ADH8",30,NA,"3.23",135,NA,135,NA,2016
"497","CRIERES","ADH8",30,NA,"3.28",135,NA,135,NA,2016
"498","GRANDES PRUCHES","ADH8",30,NA,"15.5",135,NA,135,NA,2016
"499","SOBINETTES","ADH9",30,NA,"12.46",135,NA,135,NA,2016
"500","PETITES PRUCHES","ADH9",30,NA,"10.53",135,NA,135,NA,2016
"501","BAS MOUTIONS","ADH9",30,NA,"6.83",135,NA,135,NA,2016
"502","CLOS DERARD","ADH9",30,NA,"8.02",135,NA,135,NA,2016
"503","RUELLES","ADH9",30,NA,"6.56",135,NA,135,NA,2016
"504","VOIES DE CHIGNY","ADH9",30,NA,"9.29",135,NA,135,NA,2016
"505","CHAMPS LUDEES","ADH9",30,NA,"3.7",135,NA,135,NA,2016
"506","CROTELETS","ADH9",30,NA,"8.76",135,NA,135,NA,2016
"507","COUTURES","ADH9",30,NA,"5.98",135,NA,135,NA,2016
"508","CORNE CERFS","ADH10",30,NA,"5.75",135,NA,135,NA,2016
"509","CRIERES","ADH10",30,NA,"7.14",135,NA,135,NA,2016
"510","MOUTHIONS","ADH10",30,NA,"10.27",135,NA,135,NA,2016
"511","NOUES","ADH10",30,NA,"6.5",135,NA,135,NA,2016
"512","CORNE CERFS","ADH10",30,NA,"5.75",135,NA,135,NA,2016
"513","NOUES","ADH10",30,NA,"7",135,NA,135,NA,2016
"514","CRIERES","ADH10",30,NA,"7.14",135,NA,135,NA,2016
"515","BEAUNES","ADH10",30,NA,"8",135,NA,135,NA,2016
"516","BEAUNES","ADH10",30,NA,"8",135,NA,135,NA,2016
"517","TROIS PUITS","ADH10",30,NA,"6.5",135,NA,135,NA,2016
"518","CORRIGNIERS  AK  0036","ADH10",30,NA,"5.52",135,NA,135,NA,2016
"519","TROIS PUITS","ADH10",30,NA,"6.5",135,NA,135,NA,2016
"520","TROIS PUITS","ADH10",30,NA,"4.1",135,NA,135,NA,2016
"521","TROIS PUITS","ADH11",30,NA,"4.1",135,NA,135,NA,2016
"522","CORRIGNIERS  AK  0036","ADH11",30,NA,"5.52",135,NA,135,NA,2016
"523","MOUTHIONS","ADH11",30,NA,"10.27",135,NA,135,NA,2016
"524","NOUES","ADH11",30,NA,"6.5",135,NA,135,NA,2016
"525","NOUES","ADH11",30,NA,"7",135,NA,135,NA,2016
"526","Verbonnette jeune","ADH11",30,NA,"0.974358974",135,NA,135,NA,2016
"527","Verbonnette vieille","ADH11",30,NA,"3.461538462",135,NA,135,NA,2016
"528","Grands Corigniers","ADH12",30,NA,"4.769230769",135,NA,135,NA,2016
"529","Pissottes","ADH12",30,NA,"4.051282051",135,NA,135,NA,2016
"530","Moyens Corigniers","ADH12",30,NA,"3.846153846",135,NA,135,NA,2016
"531","Petits Corigniers","ADH12",30,NA,"3.641025641",135,NA,135,NA,2016
"532","Bas Belais","ADH12",30,NA,"6.777777778",135,NA,135,NA,2016
"533","Coutures","ADH12",30,NA,"6.4",135,NA,135,NA,2016
"534","Grands Moulins","ADH12",30,NA,"5.384615385",135,NA,135,NA,2016
"535","Trésorières  X  0175 (2014)","ADH12",30,NA,"3.1",135,NA,135,NA,2016
"536","Beaunes 50 ares  AH 0072","ADH12",30,NA,"4.5",135,NA,135,NA,2016
"537","Corrigniers  AK  0036","ADH12",30,NA,"4.6",135,NA,135,NA,2016
"538","Beaunes Carré AH 0122 + 0123","ADH12",30,NA,"5.2",135,NA,135,NA,2016
"539","Beaunes du Bout 1999  AH  0085","ADH12",30,NA,"5.8",135,NA,135,NA,2016
"540","Coutures d'en Haut(vieille) A  1002","ADH12",30,NA,"5.8",135,NA,135,NA,2016
"541","Beaunes Plateau  AH  OO54","ADH13",30,NA,"5.9",135,NA,135,NA,2016
"542","Houssets  A  0500","ADH13",30,NA,"5.9",135,NA,135,NA,2016
"543","Coutures d'en Haut(pinots) A 0545 (02)","ADH13",30,NA,"6.2",135,NA,135,NA,2016
"544","Dessus la Ville  B  1367","ADH13",30,NA,"6.4",135,NA,135,NA,2016
"545","Coutures d'en Bas  A  0545","ADH13",30,NA,"6.4",135,NA,135,NA,2016
"546","Verbonnettes  AC  0324","ADH13",30,NA,"7.9",135,NA,135,NA,2016
"547","Beaunes du Bout 1993  AH  0086","ADH13",30,NA,"8",135,NA,135,NA,2016
"548","Coutures d'en Haut(jeune) A   1005","ADH13",30,NA,"8.1",135,NA,135,NA,2016
"549","Beaunes 15 routes  AH 0034","ADH13",30,NA,"8.5",135,NA,135,NA,2016
"550","Trésorières  X0176+0178+0179   (2011)","ADH14",30,NA,"9",135,NA,135,NA,2016
"551","Clos Yons   (pinots)  C  0798","ADH14",30,NA,"9.1",135,NA,135,NA,2016
"552","Pissottes  B  0646","ADH14",30,NA,"10.1",135,NA,135,NA,2016
"553","Driffours  B  0646","ADH14",30,NA,"11.7",135,NA,135,NA,2016
"554","Pruches d'en Bas (chard.) B  0857","ADH14",30,NA,"13.1",135,NA,135,NA,2016
"555","Trésorières  X0176+0178+0179   (2007)","ADH14",30,NA,"14.8",135,NA,135,NA,2016
